"sample","bottom","mid","top","total"
"9019.d.26","8","5","9","22"
"9019.d.27","8","6","12","26"
"9019.d.28","6","9","10","25"
"9019.d.29","6","8","8","22"
"9019.d.30","5","4","9","18"
"9019.d.31","5","4","6","15"
"9019.d.32","7","5","9","21"
"9019.d.33","6","6","10","22"
"9019.d.34","6","4","8","18"
"9019.d.35","6","3","6","15"
"9019.d.36","4","7","5","16"
"9019.d.37","4","7","6","17"
"9019.d.38","5","6","5","16"
"9019.d.39","5","4","2","11"
"9019.d.40","4","4","2","10"
"9019.d.41","3","4","5","12"
"9019.d.42","1","8","7","16"
"9019.d.43","2","7","5","14"
"9019.d.44","1","5","3","9"
"9019.d.45","2","8","6","16"
"9019.d.46","4","9","7","20"
"9019.d.47","6","8","6","20"
"9019.d.48","4","6","4","14"
"9019.d.49","2","5","3","10"
"9019.d.50","3","8","4","15"
"9019.d.51","5","8","3","16"
"9019.d.52","4","5","4","13"
"9019.d.53","4","6","6","16"
"9019.d.54","3","8","7","18"
"9019.d.55","2","8","7","17"
"9019.d.56","2","9","7","18"
"9019.d.57","3","12","11","26"
"9019.d.58","5","11","9","25"
"9019.d.59","4","8","6","18"
"9019.d.60","4","10","8","22"
"9019.d.61","4","10","8","22"
"9019.d.62","2","6","5","13"
"9019.d.63","2","7","5","14"
"9019.d.64","3","8","5","16"
"9019.d.65","5","8","6","19"
"9019.d.66","5","10","8","23"
"9019.d.67","6","10","8","24"
"9019.d.68","5","8","6","19"
"9019.d.69","4","8","4","16"
"9019.d.70","3","9","6","18"
"9019.d.71","4","10","7","21"
"9019.d.72","4","14","11","29"
"9019.d.73","3","18","15","36"
"9019.d.74","4","16","12","32"
"9019.d.75","4","13","11","28"
"9019.d.76","5","16","13","34"
"9019.d.77","5","13","11","29"
"9026.d.2","4","4","5","13"
"9026.d.3","4","4","5","13"
"9026.d.4","4","3","4","11"
"9026.d.5","4","2","4","10"
"9026.d.6","4","3","4","11"
"9026.d.7","3","3","5","11"
"9026.d.8","3","4","3","10"
"9026.d.9","4","4","2","10"
"9026.d.10","4","3","4","11"
"9026.d.11","4","4","5","13"
"9026.d.12","3","4","4","11"
"9026.d.13","2","3","3","8"
"9026.d.14","3","3","4","10"
"9026.d.15","4","4","6","14"
"9026.d.16","5","3","6","14"
"9026.d.17","5","3","6","14"
"9026.d.18","5","4","7","16"
"9026.d.19","6","4","4","14"
"9026.d.20","5","4","2","11"
"9026.d.21","4","3","2","9"
"9026.d.22","7","4","7","18"
"9026.d.23","16","7","18","41"
