"tagname","week","bottom_mean","middle_mean","top_mean","activity","weekFac"
6939,15,0.88751998059815,0.0234123003318157,0.0890677190700342,"low","15"
6939,16,0.742786590676088,0.143401717504658,0.113811691819254,"low","16"
6939,17,0.834621278096855,0.100400163151919,0.0649785587512265,"low","17"
6939,18,0.841098850219925,0.0566445823641595,0.102256567415916,"low","18"
6940,10,0.206613164596034,0.356447256732772,0.436939578671194,"medium","10"
6940,11,0.437833607090494,0.215406832537784,0.346759560371722,"medium","11"
6940,12,0.501237970301941,0.113337669352794,0.385424360345265,"medium","12"
6940,13,0.521799521568022,0.200407879796721,0.277792598635256,"medium","13"
6940,14,0.471654558883512,0.163330503896906,0.365014937219583,"medium","14"
6940,15,0.497203267447885,0.141510037150133,0.361286695401982,"medium","15"
6940,16,0.450872532051635,0.160380540826563,0.388746927121802,"medium","16"
6940,17,0.290148049342432,0.285853185320737,0.423998765336832,"medium","17"
6940,18,0.434301588526452,0.270525723986639,0.295172687486909,"medium","18"
6942,10,0.562589705995833,0.170175167837025,0.267235126167143,"low","10"
6942,11,0.796893499277942,0.0836418153958088,0.119464685326249,"low","11"
6942,12,0.859623207258056,0.0283928433631342,0.11198394937881,"low","12"
6942,13,0.786828789699382,0.132726290608843,0.0804449196917751,"low","13"
6942,14,0.911805364170516,0.0585957911214489,0.0295988447080352,"low","14"
6942,15,0.947864142956357,0.0311201261120236,0.0210157309316194,"low","15"
6942,16,0.795054733059209,0.126125252168928,0.0788200147718629,"low","16"
6942,17,0.766664094451732,0.169510434006151,0.0638254715421164,"low","17"
6942,18,0.772870481628874,0.181965098717935,0.0451644196531919,"low","18"
6945,10,0.264758083185431,0.323875299019986,0.411366617794583,"medium","10"
6945,11,0.475151301357027,0.0946325223507104,0.430216176292262,"medium","11"
6945,12,0.554374786414296,0.0914201933570713,0.354205020228633,"medium","12"
6945,13,0.491735473416159,0.177286607211756,0.330977919372086,"medium","13"
6945,14,0.540458368701289,0.0833022830244839,0.376239348274227,"medium","14"
6945,15,0.413373309080331,0.251925645214976,0.334701045704693,"medium","15"
6945,16,0.441669881935335,0.155649135184593,0.402680982880072,"medium","16"
6945,17,0.474919802012942,0.164545324264438,0.36053487372262,"medium","17"
6945,18,0.480312634352298,0.15146009943448,0.368227266213222,"medium","18"
6950,10,0,0.755513542711629,0.244486457288371,"medium","10"
6950,11,0.322513862401199,0.527187944396062,0.150298193202738,"medium","11"
6950,12,0.873096469083814,0.112682856922382,0.0142206739938046,"medium","12"
6950,13,0.646773891283499,0.262670179577348,0.0905559291391532,"medium","13"
6950,14,0.494345904115176,0.358559412653093,0.147094683231731,"medium","14"
6950,15,0.579568529317738,0.305735671844168,0.114695798838094,"medium","15"
6950,16,0.422920639820092,0.416698819353345,0.160380540826563,"medium","16"
6950,17,0.45605150309217,0.325062559941795,0.218885936966036,"medium","17"
6950,18,0.505468896409555,0.35886366893389,0.135667434656554,"medium","18"
6961,10,0.304190138127942,0.35622347403349,0.339586387838568,"low","10"
6961,11,0.399208492718794,0.116139913794054,0.484651593487152,"low","11"
6961,12,0.564413038924961,0.0670532338253612,0.368533727249678,"low","12"
6961,13,0.612271669992173,0.0458390748845259,0.341889255123301,"low","13"
6961,14,0.568388213376253,0.0373860416919296,0.394225744931818,"low","14"
6961,15,0.543714792808087,0.021472115352816,0.434813091839097,"low","15"
6961,16,0.479576245962541,0.110811019368778,0.40961273466868,"low","16"
6961,17,0.563963268770738,0.0821425815483998,0.353894149680862,"low","17"
6961,18,0.516477241409721,0.131782655187239,0.35174010340304,"low","18"
6973,10,0.561956941122,0.189659695964195,0.248383362913805,"high","10"
6973,11,0.422556855136529,0.269266808505947,0.308176336357523,"high","11"
